Naam,Adres,Latitude,Longitude,Link,Street,Postcode,City
"Tas, U.","Huisartsenpraktijk De Akkers, Spijkenisse",51.8327691,4.3211317,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-tas-u-282232,Lenteakker,3206 TB,Spijkenisse
"Vos, C.J.","Huisartsenpraktijk Vos, Spijkenisse",51.8383529,4.3609204,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-vos-c-j-117757,Drogendijk,3207 LE,Spijkenisse
"Wijnendaele, K.F.J. van","Huisartsenpraktijk Bloemendal, Barneveld",52.1502399,5.581667,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-wijnendaele-k-f-j-van-149396,Wethouder Rebellaan,3771 KA,Barneveld
"Zoete, G.","Huisartsen De Kuip, Colmschate",52.2486669,6.2224688,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-zoete-g-271343,Holterweg,7429 AH,Colmschate
"Aalders, W.J.M.","Huisartsenpraktijk Hauser & Aalders, Amsterdam",52.3622225,4.8724648,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-aalders-w-j-m-279304,Overtoom,1054 HR,Amsterdam
"Allison, M.E.","Gezondheidscentrum Floriande, Huisartsen, Hoofddorp",52.3124332,4.6420438,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-allison-m-e-245701,Waddenweg,2134 XL,Hoofddorp
"Antwerpen, J.M. van","Huisartsenpraktijk de Schans Woudenberg, Woudenberg",52.0805952,5.4207441,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-antwerpen-j-m-van-314681,Schans,3931 KJ,Woudenberg
"Athumani, A.A.","Huisartsenpraktijk Tarwezigt – onderdeel van Zovida, Rotterdam",51.887973,4.493979,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-athumani-a-a-157672,Strevelsweg,3083 AT,Rotterdam
"Bakker, M.J.","Huisartspraktijk M.J. Bakker, Zoetermeer",52.0560673,4.4707437,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bakker-m-j-282168,Albrandswaard,2716 DA,Zoetermeer
"Bakker, S.M.","Huisartsenpraktijk Stevenshof, Leiden",52.1506644,4.4552521,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bakker-s-m-271836,Theda Mansholtstraat,2331 JE,Leiden
"Bastianen, C.A.","Huisartsenpraktijk de Campus, Wijchen",51.8031962,5.7362012,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bastianen-c-a-321730,Campuslaan,6602 HX,Wijchen
"Benard, B.A.","Huisartsenpraktijk Nieuw Plettenburgh, Utrecht",52.0686392,5.1221116,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-benard-b-a-116848,Plettenburgplantsoen,3523 JA,Utrecht
"Bender-de Paauw, C.M.A.","Huisartsenpraktijk Bender, Rotterdam",51.9341402,4.4281991,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bender-de-paauw-c-m-a-117786,Burgemeester Baumannlaan,3042 AJ,Rotterdam
"Berg, H. van den","Huisartsartsenpraktijk Van den Berg, Zoetermeer",52.0575796,4.4910153,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-berg-h-van-den-264165,Bijdorplaan,2713 SZ,Zoetermeer
"Berg, M.K. van den","Huisartspraktijk van den Berg & Kerschoten, Apeldoorn",52.2360535,5.967297,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-berg-m-k-van-den-272449,Anklaarseweg,7316 MG,Apeldoorn
"Berkhout-de Groot, J.H.","Huisartsenpraktijk Berkhout en van Markus, Den Haag",52.108922,4.2895918,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-berkhout-de-groot-j-h-264154,Badhuisweg,2587 CK,Den Haag
"Bijloo, A.M.","Huisartsenpraktijk Rhynenburch, Hazerswoude-Rijndijk",52.1297118,4.5925328,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bijloo-a-m-328884,Rhynenburcherlaan,2394 CT,Hazerswoude-Rijndijk
"Boorder, M.J. de","Huisartsenpraktijk de Poort, locatie Beuningen, Beuningen",51.859699,5.7678423,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-boorder-m-j-de-314381,Wilhelminalaan,6641 KN,Beuningen
"Bosma, H.W.","Zorggroep Almere, Huisartsenpraktijk Filmwijk, Almere",52.3713784,5.2299304,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bosma-h-w-125360,Grace Kellystraat,1325 HC,Almere
"Bougie-de Leeuw, P.J.","Gezondheidscentrum Het Kruispunt, Huisartsenpraktijk LeoCura, Rijswijk",52.0311952,4.311951,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bougie-de-leeuw-p-j-240863,Henri Dunantlaan,2286 AG,Rijswijk
"Breuking, P.W.M.","Huisartsenpraktijk Breuking, Amerongen",52.0002515,5.4597334,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-breuking-p-w-m-119782,Imminkstraat,3958 CG,Amerongen
"Brouwer, C.A.J.","Huisartsenpraktijk Brouwer & Truin, Arnhem",51.9474085,5.8862476,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-brouwer-c-a-j-276869,Doctor Willem Dreessingel,6836 CS,Arnhem
"Brouwer, M.L.J.","Huisartspraktijk Niemeijer en Brouwer, Zaandam",52.4399802,4.8155026,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-brouwer-m-l-j-324629,Irene Vorrinkplein,1506 WR,Zaandam
"Brull, J.N.P.","Huisartsenpraktijk J.N.P. Brull, Berg en Terblijt",50.8611081,5.7891626,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-brull-j-n-p-122454,Laathofstraat,6325 CZ,Vilt
"Caljouw-Vos, J.P.","Huisartsenpraktijk Caljouw, Ridderkerk",51.8786724,4.6048113,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-caljouw-vos-j-p-117829,Prinses Margrietstraat,2983 EH,Ridderkerk
"Cals, M.A.J.","Huisartsenpraktijk Cals, Tilburg",51.5697678,5.0913119,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-cals-m-a-j-271122,Hoefstraat,5014 NK,Tilburg
"Coenen, N.H.","Huisartsenpraktijk Noord, Tilburg",51.5822563,5.0820977,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-coenen-n-h-301699,Franz Lisztstraat,5011 RC,Tilburg
"Cruchten, L.H.H. van","Huisartsenpraktijk van Cruchten, Heesch",51.7325903,5.5102406,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-cruchten-l-h-h-van-121343,Cereslaan,5384 VT,Heesch
"Dam, M.G.M. van","Huisartsenpraktijk Het Erf, Hengelo",52.2709533,6.7993025,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-dam-m-g-m-van-332873,Jan van Galenstraat,7556 VD,Hengelo
"Dop, R.E. van","Huisartsenpraktijk Van Meeteren en Van Dop, Leusden",52.139193,5.4257957,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-dop-r-e-van-159906,Berkenlaan,3833 AP,Leusden
"Dorsman, K.","Huisartsenpraktijk De Eendracht, Tubbergen",52.407383,6.7826834,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-dorsman-k-263855,Oude Markt,7651 CZ,Tubbergen
"Ebrahimi, H.","Nielsen Haarkliniek, Den Haag",52.0437918,4.3610032,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-ebrahimi-h-327575,Laan van Waalhaven,2497 GR,Den Haag
"Eefting, M.","Huisartsen Oranjehoek, Vroomshoop",52.4585129,6.5650533,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-eefting-m-324256,Linderflier,7681 ZM,Vroomshoop
"Ee-van Laar, A. van","Huisartsenpraktijk AMEEdic, Genderen",51.7367507,5.0918331,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-ee-van-laar-a-van-316648,Teisterband,4265 JS,Genderen
"Enk, J.A. van","Huisartsenpraktijk Van Enk en Van de Stouwe, Heerhugowaard",52.6469167,4.8095704,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-enk-j-a-van-152135,Brandpunt,1705 SK,Heerhugowaard
"Es-Verburg, S.M. van","Huisartsenpraktijk van Rooijen, Zwijndrecht",51.8268557,4.6583552,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-es-verburg-s-m-van-334797,Thorbeckelaan,3332 JB,Zwijndrecht
"Faber, G.","Vilente Het Beekdal, Heelsum",51.9810479,5.7586912,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-faber-g-123339,Utrechtseweg,6866 CW,Heelsum
"Farahani, M.","Huisartsenpraktijk Arts en Zorg Westeinde, Den Haag",52.0752488,4.3005428,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-farahani-m-116938,Westeinde,2512 GZ,Den Haag
"Feenstra, S.","Huisartsenpraktijk Galecop, locatie De Kempenaerpark, Nieuwegein",52.0537038,5.0808487,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-feenstra-s-332057,Abraham Kuyperpark,3437 JA,Nieuwegein
"Fellinger, H.W.","Huisartspraktijk Fellinger, Oost-, West- en Middelbeers",51.4690597,5.2453262,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-fellinger-h-w-318109,Ganzeakkers,5091 CR,Middelbeers
"Geerlings, G.","Maatschap Huisartsen Monnickendam, Monnickendam",52.4550974,5.0376719,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-geerlings-g-338825,Pierebaan,1141 GV,Monnickendam
"Geersing, G.J.","Huisartsenpraktijk de Buitenhof, Amsterdam",52.3575018,4.9142344,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-geersing-g-j-270809,Eerste Oosterparkstraat,1091 HA,Amsterdam
"Geest, T.N. van","Huisartsenpraktijk De Vleugelnoot, Middelburg",51.5038742,3.6122881,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-geest-t-n-van-284665,Molenwater,4331 SC,Middelburg
"Gielen, P.E.G.","Medisch Centrum Molenweg, Huisartsenpraktijk Gielen & Rimmelzwaan, Amstelveen",52.30866,4.8479915,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-gielen-p-e-g-114054,Molenweg,1182 CL,Amstelveen
"Goffin, Y.J.","Huisartsenpraktijk Daniëlsplein, Praktijk Goffin/ Cottaar, Nijmegen",51.8347606,5.8278055,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-goffin-y-j-122922,Daniëlsplein,6543 NA,Nijmegen
"Goossens, L.K.","Huisartsenpraktijk Mariahoek, Utrecht",52.0852348,5.1181945,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-goossens-l-k-334569,Catharijnesingel,3511 GK,Utrecht
"Grieken, D.H.M. van","Huisartsen Werkeren, Gezondheidshuis Stadshagen, Zwolle",52.5334504,6.057693,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-grieken-d-h-m-van-271847,Werkerlaan,8043 LK,Zwolle
"Griffioen-Neven, N.","Huisartsenpraktijk Griffioen Hazerswoude-Rijndijk, Hazerswoude-Rijndijk",52.1297118,4.5925328,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-griffioen-neven-n-263615,Rhynenburcherlaan,2394 CT,Hazerswoude-Rijndijk
"Haaitsma, L.M.A.","Huisartsenpraktijk Haaitsma, Rhoon",51.8571481,4.471068,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-haaitsma-l-m-a-263822,Langstraat,3162 WC,Rhoon
"Haaren, K.M.A. van","Huisartsenpraktijk Onder de Torens, locatie Terheijden, Terheijden",51.6413699,4.7536422,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-haaren-k-m-a-van-120056,Schepenhof,4844 BM,Terheijden
"Hagenbeek, M.A.","Huisartsenpraktijk De Wedren, Nijmegen",51.8409302,5.8684461,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hagenbeek-m-a-164956,Waldeck Pyrmontsingel,6524 BA,Nijmegen
"Hage, R.M.","Huisartsenpraktijk R.M. Hage, Hendrik-Ido-Ambacht",51.8439073,4.6285619,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hage-r-m-263581,Tromplaan,3342 TS,Hendrik-Ido-Ambacht
"Hartog, H.C. de","Huisartsenpraktijk Lijsterweg, Hengelo",52.2686597,6.8027546,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hartog-h-c-de-124290,Lijsterweg,7557 PL,Hengelo
"Hectors, J.C.","Huisartsenpraktijk Onder de Torens, locatie Terheijden, Terheijden",51.6413699,4.7536422,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hectors-j-c-287757,Schepenhof,4844 BM,Terheijden
"Heslinga, H.T.","Huisartsenpraktijk Ter Apel, Ter Apel",52.875304,7.0573552,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-heslinga-h-t-126071,Marktstraat,9561 GL,Ter Apel
"Hijmering, R.A.J.","Gezondheidscentrum Huiswaard, Huisartsen, Alkmaar",52.6459648,4.7521403,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hijmering-r-a-j-115610,Muiderwaard,1824 XW,Alkmaar
"Hijnens, R.","Gezondheidscentrum Schalkwijk, Huisartsen 3e etage, Praktijk Hijnens / Smit, Haarlem",52.3550509,4.6577753,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hijnens-r-283735,Heldringstraat,2037 VL,Haarlem
"Hofma, F.J.","Huisartsenpraktijk Heino De Munnikenhof, Heino",52.436054,6.2326034,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hofma-f-j-124951,Munnikenhof,8141 GL,Heino
"Hollebrandse-van Duijvenboden, G.M.","Huisartsenpraktijk Holtenzorg, Zwolle",52.5221443,6.0845971,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hollebrandse-van-duijvenboden-g-m-321313,Straussplein,8031 AE,Zwolle
"Honig, A.","Huisartsenpraktijk Zeeburg, Praktijk A. Honig, Amsterdam",52.3613445,4.9391449,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-honig-a-281940,Halmaheirastraat,1094 RD,Amsterdam
"Hoogervorst-Berghout, E.","Huisartsenpraktijk Hoogervorst, Hellevoetsluis",51.8300426,4.1316327,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hoogervorst-berghout-e-118426,Glacisweg,3221 XA,Hellevoetsluis
"Hoogwater, P.P.","Huisartsenpraktijk Blekkerhoek, Raalte",52.3899238,6.2743146,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hoogwater-p-p-250953,de Blekstraat,8102 BD,Raalte
"Hurk, M.A. van den","Huisartsenpraktijk M.A. van den Hurk, Breda",51.6110503,4.7841824,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hurk-m-a-van-den-302820,Zomergemstraat,4826 CW,Breda
"Jong, A.J. de","Huisartsen van Geuns en de Jong, Baarn",52.2159121,5.283752,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-jong-a-j-de-271272,Plataanlaan,3741 WE,Baarn
"Jong, C.A.M. de","Gezondheidscentrum Bovenmaat, Huisartsen, Huizen",52.3013984,5.2684899,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-jong-c-a-m-de-114181,Wadden,1274 GK,Huizen
"Jong, J. de","Gezondheidscentrum Houtwijk, Huisartsen, Den Haag",52.0551016,4.2500325,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-jong-j-de-117256,Hildo Kroplaan,2552 XM,Den Haag
"Kant, R.","Huisartsenpraktijk Bartstra en Kant, Andijk",52.7445795,5.2135449,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kant-r-153911,Kleingouw,1619 CB,Andijk
"Keizer-Prak, A.","Huisartsenpraktijk Musselpark Keizer Prak, Musselkanaal",52.9282187,7.0209447,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-keizer-prak-a-304327,Nijverheidslaan,9581 EJ,Musselkanaal
"Kentstra-Tannouche Bennani, N.","Huisartsenpraktijk Florijn, Leiderdorp",52.1619968,4.5342661,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kentstra-tannouche-bennani-n-251112,Florijn,2353 TC,Leiderdorp
"Kessel, A.H.E.M. van","Huisartsenpraktijk van Kessel, Zeist",52.0895801,5.222615,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kessel-a-h-e-m-van-119264,Kroostweg,3704 EB,Zeist
"Kleijkers, S.F.J.","Gezondheidscentrum Hoensbroek Noord, Huisartsen, Hoensbroek",50.9313919,5.9333791,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kleijkers-s-f-j-320311,Akerstraat-Noord,6431 HN,
"Kleijn, I.M.","Gezondheidscentrum Lunetten, Huisartsen, Utrecht",52.0646922,5.1345897,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kleijn-i-m-240768,Oeral,3524 DS,Utrecht
"Knobbe, K.","Huisartsenpraktijk Marskramerstraat, Hoogland",52.1865979,5.3746181,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-knobbe-k-271187,Kraailand,3828 HT,Hoogland
"Koertshuis-Meijer, S.M.","Medisch Centrum De Spinnerij, Almelo",52.3567478,6.658777,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-koertshuis-meijer-s-m-323114,Twenthe-plein,7607 GZ,Almelo
"Kolkman, J.","Huisartsenpraktijk Korendijk, Goudswaard",51.7951106,4.2778255,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kolkman-j-283715,Molendijk,3267 AM,Goudswaard
"Kort, H.A.E. de","Huisartsenpraktijk Nieuwenhoorn, Hellevoetsluis",51.8338546,4.1390103,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kort-h-a-e-de-209924,Herman Heijermansstraat,3221 VK,Hellevoetsluis
"Krevel, C.A.M. van","Huisartsen De Nije Veste, Nijkerk",52.2234692,5.4926799,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-krevel-c-a-m-van-260258,Oranjelaan,3862 CX,Nijkerk
"Krouwel, S.","Huisartsenpraktijk Arts en Zorg Haagse Hout, Den Haag",52.0872762,4.3341135,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-krouwel-s-233604,Bezuidenhoutseweg,2594 AH,Den Haag
"Kruyswijk, J.M.","SAG Gezondheidscentrum Steigereiland, Huisartsen, Amsterdam",52.3620475,4.9813741,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kruyswijk-j-m-114246,Cornelis Zillesenlaan,1086 ZK,Amsterdam
"Kuijsten-Wolvekamp, A.W.","Huisartsenpraktijk Riel, Riel",51.525761,5.0233839,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kuijsten-wolvekamp-a-w-263768,Blokakkers,5133 CA,Riel
"Kurt, R.","Sanitas Gezondheidscentrum Rotterdam, Huisartsen Mathenesserlaan, Rotterdam",51.9163421,4.4459607,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kurt-r-271385,Mathenesserlaan,3023 HL,Rotterdam
"Kuschbert, K.","Huisartsenpraktijk van der Lugt en Kuschbert, Zaandam",52.4466658,4.8068543,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kuschbert-k-115358,Edamstraat,1507 JB,Zaandam
"Lam, P.K.","Gezondheidscentrum De Brug, Huisartsenpraktijk Chung en Lam, Utrecht",52.1123634,5.0794551,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-lam-p-k-240844,Amsterdamsestraatweg,3555 HX,Utrecht
"Lange-Punte, H.M. van","Huisartsenpraktijk Loenen, Loenen",52.1193631,6.0218065,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-lange-punte-h-m-van-123472,Cornelis Hendrixstraat,7371 AR,Loenen
"Lankveld, M.A.L. van","Huisartsenpraktijk de Weide, Culemborg",51.956563,5.2356466,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-lankveld-m-a-l-van-276987,Constantijnlaan,4101 JK,Culemborg
"Laven, R.J.A.","Huisartsenpraktijk Proosdijveld, Beek",50.9428907,5.7926301,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-laven-r-j-a-164246,Labouréstraat,6191 CE,Neerbeek
"Leemans, T.C.M.","Huisartsenpraktijk Stadshart, Breda",51.5863844,4.7647918,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-leemans-t-c-m-271044,Nieuwe Haagdijk,4811 RW,Breda
"Lewin, F.","Huisartsenpraktijk Wijnjewoude-Hemrik, Wijnjewoude",53.056328,6.2027145,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-lewin-f-159646,Meester Geertswei,9241 GJ,Wijnjewoude
"Ligthart Schenk, C.","Huisartsenpraktijk Nylân, Leeuwarden",53.1855982,5.78265,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-ligthart-schenk-c-125482,Nijlânsdyk,8931 GN,Leeuwarden
"Linthorst, J.","Huisartsenpraktijk Linthorst, Berkel en Rodenrijs",51.9986791,4.4835372,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-linthorst-j-117273,Krugerlaan,2651 GA,Berkel en Rodenrijs
"Logt, P. van der","Huisartsenpraktijk De Molen, Scherpenzeel",52.0780601,5.4848618,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-logt-p-van-der-312912,Vijverlaan,3925 EL,Scherpenzeel
"Luijten, Y.A.J.","Huisartsenpraktijk Limbrichterveld, Sittard",51.0072325,5.8524353,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-luijten-y-a-j-277218,Whitestraat,6135 CN,Sittard
"Martens-van Iperen, C.","Lijn 1 Huisartsenpraktijk, Rijssen",52.3075474,6.5167603,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-martens-van-iperen-c-166748,Haarstraat,7462 AL,Rijssen
"Mees, E.B.","Huisartsenpraktijk De Meent De Meern, De Meern",52.0740805,5.0403928,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-mees-e-b-118846,Meentweg,3454 AZ,Utrecht
"Melcherts, C.J.M.","Huisartsenpraktijk Dorpsstraat, Landsmeer",52.4303119,4.9141956,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-melcherts-c-j-m-114711,Dorpsstraat,1121 BV,Landsmeer
"Migchelbrink, F.B.","Huisartsengroep Frankische Driehoek, Goirle",51.5259097,5.0505578,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-migchelbrink-f-b-240939,Hoogschoor,5052 DA,Goirle
"Miske, M.H.","Huisartsenpraktijk De Meulehoek, Wolvega",52.874837,5.995767,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-miske-m-h-270720,Hoofdstraat West,8471 HV,Wolvega
"Moens, L.A.","Huisartsenpraktijk De Biezen, Dordrecht",51.8025854,4.7180074,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-moens-l-a-321156,Dudok-erf,3315 KA,Dordrecht
"Moerman, M.K.P.","Huisartsenpraktijk Moerman, Sassenheim",52.2255492,4.5169308,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-moerman-m-k-p-116251,Prins Hendriklaan,2171 CL,Sassenheim
"Mulder, A.H.IJ.","Medisch Centrum Pontanus, Harderwijk",52.3338804,5.6316038,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-mulder-a-h-ij-250692,Pontanuslaan,3843 CR,Harderwijk
"Mulder, M.A.M.","Huisartsenpraktijk Weerdsingel, Utrecht",52.096721,5.1127183,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-mulder-m-a-m-320548,Weerdsingel Westzijde,3513 BD,Utrecht
"Mulder, Z.","De Fundatie, huisartsenpraktijk en apotheek, Beetsterzwaag",53.0572166,6.0725808,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-mulder-z-291650,Commissieweg,9244 GB,Beetsterzwaag
"Nijmeijer, M.L.","Huisartsenpraktijk Nijmeijer, Haaksbergen",52.1595366,6.7291805,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-nijmeijer-m-l-281863,Rembrandtstraat,7482 EC,Haaksbergen
"Nijstad-Moes, A.C.","Apotheekhoudende Huisartsenpraktijk Kolderveen, Nijeveen",52.7272056,6.164962,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-nijstad-moes-a-c-313306,Kolderveen,7948 NG,Meppel
"Nugteren, A.","Huisartsenpraktijk Nugteren-Meijler, Chaam",51.5054467,4.8577998,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-nugteren-a-271586,De Werf,4861 SC,Chaam
"Olthof, J.","Sluis [3] Huisartsen, Huisartsenpraktijk Olthof, Nieuwleusen",52.5841945,6.2869702,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-olthof-j-167393,Omloop,7711 XD,Nieuwleusen
"Oosterhout, R.W. van","Huisartspraktijk R.W. van Oosterhout, Hardenberg",52.5764903,6.6030542,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-oosterhout-r-w-van-124561,De Schans,7773 AA,Hardenberg
"Paardekooper, D.C.H.","Huisartsenpraktijk Hoogh Teijlingen, Voorhout",52.2273605,4.4901516,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-paardekooper-d-c-h-263917,Jacoba van Beierenweg,2215 KV,Voorhout
"Paas, M.","Huisartsenpraktijk Paas & Cremers, Hoensbroek",50.9229379,5.9296953,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-paas-m-281169,Burgemeester Kessenplein,6431 KM,
"Parmentier, G.L.","Huisartspraktijk Parmentier-van Loon, Fijnaart",51.6352262,4.4668314,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-parmentier-g-l-309382,Voorstraat,4793 ET,Fijnaart
"Piccardt Brouwer, H.I.","Huisartsenpraktijk Winkel en Nieuwe Niedorp, Nieuwe Niedorp",52.7463067,4.9071927,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-piccardt-brouwer-h-i-158876,Koperwiek,1733 BA,Nieuwe Niedorp
"Plasmans, A.H.K.","Huisartsenpraktijk Uithoven en Plasmans, Den Burg (Texel)",53.0558412,4.7867131,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-plasmans-a-h-k-148369,Pontweg,1791 LB,Den Burg
"Plasschaert, A.I.O.","Huisartsenpraktijk De Ypelaer, Hilvarenbeek",51.4841045,5.1345597,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-plasschaert-a-i-o-283720,Ypelaerstraat,5081 BS,Hilvarenbeek
"Ramkhelawan, R.I.","Huisartsenpraktijk Maasdam, Maasdam",51.787652,4.5533218,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-ramkhelawan-r-i-341281,Raadhuisstraat,3299 AP,Maasdam
"Ridder-van de Pol, A.C.M. de","Huisartsenpraktijk De Kleine Dommel, Geldrop",51.4208504,5.5629963,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-ridder-van-de-pol-a-c-m-de-304006,Dommeldalseweg,5664 RP,Geldrop
"Riemersma-van Rheenen, E.E.","Dierense Huisartsengroep Hagenau, Praktijk E.E. Riemersma-van Rheenen, Dieren",52.0508051,6.0993049,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-riemersma-van-rheenen-e-e-276909,Wilhelminaweg,6951 BR,Dieren
"Rijn-Klöters, M.A. van","SAG Gezondheidscentrum De Keyzer, Huisartsen, Amsterdam",52.368291,4.9268095,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-rijn-kloters-m-a-van-152598,Czaar Peterstraat,1018 PR,Amsterdam
"Rijsdijk, B.A.","Huisartsenpraktijk Vogelplein, Praktijk Rijsdijk, Amersfoort",52.1659862,5.4077622,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-rijsdijk-b-a-160276,Wiekslag,3815 GS,Amersfoort
"Röben-Könst, Y.E.","Huisartsenpraktijk De Duinroos, Heiloo",52.5970242,4.7121543,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-roben-konst-y-e-338084,De Strandwal,1851 VM,Heiloo
